Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,1,1,24,9,ACCELERATING,false,0,0,0,1,0,,,0,0,4
5,1,1,33,9,NOTHING,false,0,0,0,1,0,,,0,0,4
6,1,1,41,8,HIT_MUD,false,0,1,0,1,0,,,0,0,1
7,1,1,50,9,ACCELERATING,false,0,1,0,1,0,,,1,0,5
8,1,1,59,9,NOTHING,false,0,1,1,1,0,,,1,0,9
9,1,2,67,9,TURNING_RIGHT,false,0,1,1,1,0,,,1,0,9
10,1,2,76,9,NOTHING,false,0,1,1,1,0,,,1,0,9
11,1,1,84,8,HIT_MUD,false,0,2,1,1,0,,,1,0,6
12,1,2,91,0,HIT_MUD,false,0,5,1,1,0,,,1,0,-3
13,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
14,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
15,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
16,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
17,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
18,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
19,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
20,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
21,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
22,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
23,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
24,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
25,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
26,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
27,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
28,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
29,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
30,1,2,91,0,ACCELERATING,false,0,5,1,1,0,,,1,0,-3
