Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,8,ACCELERATING,false,0,0,0,0,0,,,1,0,4
4,2,4,24,9,ACCELERATING,false,0,0,0,0,0,,,1,0,4
5,2,4,33,9,ACCELERATING,false,0,0,0,0,0,,,1,0,4
6,2,4,42,9,ACCELERATING,false,0,0,0,0,0,,,1,0,4
7,2,4,51,9,ACCELERATING,false,0,0,0,0,0,,,1,0,4
8,2,4,60,9,ACCELERATING,false,0,0,0,1,0,,,1,0,8
9,2,4,69,3,HIT_WALL,false,0,2,1,0,0,,,1,0,11
10,2,4,75,6,ACCELERATING,false,0,2,1,0,0,,,2,0,15
11,2,4,83,6,HIT_MUD,false,0,3,0,0,0,,,2,0,16
12,2,4,89,6,ACCELERATING,false,0,3,0,0,1,,,2,0,20
13,2,4,95,6,USED_LIZARD,false,0,3,0,0,0,,,2,0,20
14,2,4,101,6,ACCELERATING,false,0,3,0,0,0,,,2,0,20
15,2,4,107,0,HIT_MUD,false,0,5,0,0,0,,,2,1,12
16,2,4,107,0,FIXED_CAR,false,0,3,0,0,0,,,2,1,12
17,2,4,110,3,ACCELERATING,false,0,3,0,0,0,,,2,1,12
18,2,4,116,3,HIT_MUD,false,0,4,0,0,0,,,2,2,13
19,2,4,119,3,ACCELERATING,false,0,4,0,0,0,,,2,2,13
20,2,4,122,3,ACCELERATING,false,0,4,0,0,0,,,2,2,13
21,2,4,125,3,ACCELERATING,false,0,4,0,0,0,,,2,2,13
22,2,4,128,0,HIT_WALL,false,0,5,0,0,0,,,2,2,8
23,2,4,128,0,FIXED_CAR,false,0,3,0,0,0,,,2,2,8
24,2,4,131,3,ACCELERATING,false,0,3,0,0,0,,,2,2,8
25,2,4,137,6,ACCELERATING,false,0,3,0,0,0,,,2,2,8
26,2,4,143,6,ACCELERATING,false,0,3,0,0,0,,,2,2,8
27,2,4,149,6,ACCELERATING,false,0,3,0,1,0,,,2,2,12
28,2,4,155,6,ACCELERATING,false,0,3,0,1,0,,,2,2,12
29,2,4,161,3,HIT_MUD,false,0,4,0,1,0,,,2,2,9
30,2,4,164,3,ACCELERATING,false,0,4,0,1,0,,,2,2,9
31,2,4,167,3,ACCELERATING,false,0,4,0,1,0,,,2,2,9
32,2,4,170,3,ACCELERATING,false,0,4,0,1,0,,,2,2,9
33,2,4,173,3,ACCELERATING,false,0,4,0,1,0,,,2,2,9
34,2,4,176,3,ACCELERATING,false,0,4,0,1,0,,,2,2,9
35,2,4,179,3,ACCELERATING,false,0,4,0,1,0,,,2,2,9
36,2,4,182,3,ACCELERATING,false,0,4,0,1,0,,,2,2,9
37,2,4,185,0,HIT_MUD,false,0,5,0,2,0,,,2,2,10
38,2,4,185,0,FIXED_CAR,false,0,3,0,2,0,,,2,2,10
39,2,4,188,3,ACCELERATING,false,0,3,0,2,0,,,2,2,10
40,2,4,194,6,ACCELERATING,false,0,3,0,2,0,,,2,2,10
41,2,4,200,6,ACCELERATING,false,0,3,0,2,1,,,2,2,14
42,2,4,206,6,ACCELERATING,false,0,3,0,2,1,,,2,2,14
43,2,4,212,6,USED_LIZARD,false,0,3,0,2,0,,,2,2,14
44,2,4,218,6,ACCELERATING,false,0,3,0,2,1,,,2,2,18
45,2,4,224,6,USED_LIZARD,false,0,3,0,2,0,,,2,2,18
46,2,4,230,0,HIT_WALL,false,0,5,0,2,1,,,2,2,14
47,2,4,230,0,FIXED_CAR,false,0,3,0,2,1,,,2,2,14
48,2,4,233,3,ACCELERATING,false,0,3,1,2,1,,,2,2,18
49,2,4,239,6,ACCELERATING,false,0,3,1,2,1,,,2,2,18
50,2,4,245,6,USED_LIZARD,false,0,3,1,2,0,,,2,2,18
51,2,4,251,0,HIT_MUD,false,0,5,0,2,0,,,2,2,13
52,2,4,251,0,FIXED_CAR,false,0,3,0,2,0,,,2,2,13
53,2,4,254,0,HIT_MUD,false,0,5,0,2,0,,,2,2,7
54,2,4,254,0,FIXED_CAR,false,0,3,0,2,0,,,2,2,7
55,2,4,257,0,HIT_MUD,false,0,5,0,2,0,,,2,2,-2
56,2,4,257,0,FIXED_CAR,false,0,3,0,2,0,,,2,2,-2
57,2,4,260,3,ACCELERATING,false,0,3,0,2,0,,,2,2,-2
58,2,4,266,6,ACCELERATING,false,0,3,0,2,0,,,2,2,-2
59,2,4,272,6,ACCELERATING,false,0,3,0,2,0,,,2,2,-2
60,2,4,278,6,ACCELERATING,false,0,3,0,2,0,,,2,2,-2
61,2,4,284,6,ACCELERATING,false,0,3,0,2,0,,,2,2,-2
62,2,4,290,6,ACCELERATING,false,0,3,0,2,0,,,2,3,2
63,2,4,296,6,ACCELERATING,false,0,3,0,2,0,,,2,3,2
64,2,4,302,6,ACCELERATING,false,0,3,0,2,0,,,2,3,2
65,2,4,308,6,ACCELERATING,false,0,3,0,2,0,,,2,3,2
66,2,4,314,6,ACCELERATING,false,0,3,0,2,0,,,2,3,2
67,2,4,320,6,ACCELERATING,false,0,3,0,2,0,,,2,3,2
68,2,4,326,3,HIT_MUD,false,0,4,0,3,0,,,2,3,3
69,2,4,329,3,ACCELERATING,false,0,4,0,3,0,,,2,3,3
70,2,4,332,3,ACCELERATING,false,0,4,0,3,0,,,2,3,3
71,2,4,335,0,HIT_MUD,false,0,5,0,3,0,,,2,3,0
72,2,4,335,0,FIXED_CAR,false,0,3,0,3,0,,,2,3,0
73,2,4,338,3,ACCELERATING,false,0,3,0,4,0,,,2,3,4
74,2,4,344,0,HIT_WALL,false,0,5,0,4,0,,,2,3,-1
75,2,4,344,0,FIXED_CAR,false,0,3,0,4,0,,,2,3,-1
76,2,4,347,3,ACCELERATING,false,0,3,0,4,0,,,2,3,-1
77,2,4,353,6,ACCELERATING,false,0,3,0,5,0,,,2,3,3
78,2,4,359,6,ACCELERATING,false,0,3,0,5,0,,,2,3,3
79,2,4,365,6,ACCELERATING,false,0,3,0,5,0,,,2,3,3
80,2,4,371,6,ACCELERATING,false,0,3,0,5,0,,,2,3,3
81,2,4,377,6,ACCELERATING,false,0,3,0,5,0,,,2,3,3
82,2,4,383,6,ACCELERATING,false,0,3,0,5,0,,,2,3,3
83,2,4,389,0,HIT_MUD,false,0,5,0,5,1,,,2,3,1
84,2,4,389,0,FIXED_CAR,false,0,3,0,5,1,,,2,3,1
85,2,4,392,3,ACCELERATING,false,0,3,1,5,1,,,2,3,5
86,2,4,398,6,ACCELERATING,false,0,3,1,5,1,,,2,3,5
87,2,4,404,0,HIT_WALL,false,0,5,0,5,1,,,2,3,4
88,2,4,404,0,FIXED_CAR,false,0,3,0,5,1,,,2,3,4
89,2,4,407,3,ACCELERATING,false,0,3,0,6,1,,,2,3,8
90,2,4,413,6,ACCELERATING,false,0,3,0,7,1,,,2,3,12
91,2,4,419,6,USED_LIZARD,false,0,3,0,7,0,,,2,3,12
92,2,4,425,0,HIT_WALL,false,0,5,0,7,0,,,2,3,4
93,2,4,425,0,FIXED_CAR,false,0,3,0,7,0,,,2,3,4
94,2,4,428,3,HIT_MUD,false,0,4,0,7,0,,,2,3,1
95,2,4,431,3,ACCELERATING,false,0,4,0,7,0,,,2,3,1
96,2,4,434,3,ACCELERATING,false,0,4,0,7,0,,,2,3,1
97,2,4,437,3,ACCELERATING,false,0,4,0,7,1,,,2,3,5
98,2,4,440,3,ACCELERATING,false,0,4,0,7,2,,,2,3,9
99,2,4,443,3,ACCELERATING,false,0,4,0,7,2,,,2,3,9
100,2,4,446,3,ACCELERATING,false,0,4,0,7,2,,,2,3,9
101,2,4,449,3,ACCELERATING,false,0,4,0,7,2,,,2,3,9
102,2,4,452,3,ACCELERATING,false,0,4,0,7,2,,,2,3,9
103,2,4,455,3,ACCELERATING,false,0,4,0,7,2,,,2,3,9
104,2,4,458,0,HIT_MUD,false,0,5,0,7,2,,,2,3,6
105,2,4,458,0,FIXED_CAR,false,0,3,0,7,2,,,2,3,6
106,2,4,461,3,ACCELERATING,false,0,3,0,7,2,,,2,3,6
107,2,4,467,6,ACCELERATING,false,0,3,0,7,2,,,2,3,6
108,2,4,473,6,USED_LIZARD,false,0,3,0,7,1,,,2,3,6
109,2,4,479,6,USED_LIZARD,false,0,3,0,7,0,,,2,3,6
110,2,4,485,3,HIT_MUD,false,0,4,0,7,0,,,2,3,3
111,2,4,488,3,ACCELERATING,false,0,4,0,7,0,,,3,3,7
112,2,4,491,3,ACCELERATING,false,0,4,0,7,0,,,3,3,7
113,2,4,494,3,ACCELERATING,false,0,4,0,7,0,,,3,3,7
114,2,4,497,0,HIT_WALL,false,0,5,0,7,0,,,3,3,2
115,2,4,497,0,FIXED_CAR,false,0,3,0,7,0,,,3,3,2
116,2,4,500,3,ACCELERATING,false,0,3,0,7,0,,,3,3,2
117,2,4,506,6,ACCELERATING,false,0,3,0,7,0,,,3,3,2
118,2,4,512,0,HIT_WALL,false,0,5,0,7,0,,,3,3,-3
119,2,4,512,0,FIXED_CAR,false,0,3,0,7,0,,,3,3,-3
120,2,4,515,3,ACCELERATING,false,0,3,0,7,0,,,3,3,-3
121,2,4,521,3,HIT_MUD,false,0,4,0,7,0,,,3,3,-6
122,2,4,524,3,ACCELERATING,false,0,4,0,7,0,,,3,3,-6
123,2,4,527,3,ACCELERATING,false,0,4,0,7,0,,,3,3,-6
124,2,4,530,3,ACCELERATING,false,0,4,0,7,0,,,3,3,-6
125,2,4,533,3,ACCELERATING,false,0,4,0,7,0,,,3,3,-6
126,2,4,536,3,ACCELERATING,false,0,4,0,7,0,,,3,3,-6
127,2,4,539,3,ACCELERATING,false,0,4,0,7,0,,,3,3,-6
128,2,4,542,3,ACCELERATING,false,0,4,0,7,0,,,3,3,-6
129,2,4,545,3,ACCELERATING,false,0,4,0,7,0,,,3,3,-6
130,2,4,548,3,ACCELERATING,false,0,4,0,7,0,,,4,3,-2
131,2,4,551,0,HIT_MUD,false,0,5,0,7,0,,,4,3,-5
132,2,4,551,0,FIXED_CAR,false,0,3,0,7,0,,,4,3,-5
133,2,4,554,3,ACCELERATING,false,0,3,0,7,0,,,4,3,-5
134,2,4,560,3,HIT_MUD,false,0,4,1,7,0,,,4,3,-4
135,2,4,563,3,ACCELERATING,false,0,4,1,7,0,,,4,3,-4
136,2,4,566,3,ACCELERATING,false,0,4,1,7,0,,,4,3,-4
